대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A17165,디딤돌 대출,1,디딤돌 대출은 어떻게 신청하나요?,디딤돌대출,"디딤돌대출,디딤돌"
A17166,디딤돌 대출,1,안녕하세요. 디딤돌 대출 대상은 어떻게 되나요?,디딤돌대출,"디딤돌대출,디딤돌"
A17167,디딤돌 대출,1,신혼부부 디딤돌대출을 받을수 있는 주택의 가격은 어떻게 되나요?,디딤돌대출,"디딤돌대출,주택가격"
A17168,디딤돌 대출,1,디딤돌 대출을 받을 수 있는 대상주택의  가격은 얼마까지 인가요?,대상주택,대상주택
A17169,보금자리론 대출,1,보금자리론 대출은 어떻게 신청하나요?,보금자리론,"보금자리론,대출"
A17170,보금자리론 대출,1,보금자리론 신청 대상은 어떤게 있나요?,보금자리론,"보금자리론,신청대상"
A17171,보금자리론 대출,1,보금자리론 대출 종류가 여러가지 인가요?,보금자리론,"보금자리론,대출"
A17172,보금자리론 대출,1,아낌e보금자리론이란 무엇인가요?,아낌e보금자리론,아낌e보금자리론
A17173,보금자리론 대출,1,보금자리론은 신규주택 구입용도로만 신청해야 하나요?,보급자리론,"보급자리론,신청"
A17174,보금자리론 대출,1,분양권을 보유하고 있으면 주택 보유수에 포함되나요?,분양권,"분양권,주택보유수"
A17185,개인신용등급,1,신용등급이 낮을 경우 금융권에서 대출을 받는데 영향이 있나요?,금융권 대출,"금융권대출,대출"
A17190,개인신용등급,1,저신용도임에도 신용 대출을 받아야 한다면 어느 금융권에 알아봐야 하나요?,신용대출,"신용대출,금융권"
A17191,개인신용등급,1,담보대출이란 어떤 것입니까?,담보대출,담보대출
A17206,인터넷전문은행,1,OO은행에서 받을 수 있는 신용대출은 없나요?,케이뱅크/신용대출,신용대출
A17208,주택담보대출,1,DTI는 무엇을 말하는 것인가요?,DTI/무엇,무엇
A17209,주택담보대출,1,DSR이란 무엇을 말하는 것인가요?, 개인신용등급,개인신용등급
A17600,우리은행,1,마이너스 통장의 대출이자는 달달마다 출금되나요?,마이너스통장/대출이자/출금,"대출이자,이체"
A17604,우리은행,1,"신용대출을 받고싶은데, 얼마나 받을 수 있을까요?",신용대출,신용대출
A17605,우리은행,1,신용대출 신청은 반드시 영업점 방문해야 하나요?,신용대출/신청/영업점/방문,"신청,내점"
A17606,우리은행,1,신용대출 만기가 다가오는데 연장 신청이 가능한가요?,신용대출/만기/연장/신청/가능,"만기,만료기간"
A17607,우리은행,1,대출금 연말정산 소득공제 서류를 받으려면 어떻게 해야 하나요?,대출금/연말정산/소득공제/서류,"연말정산,대출금액"
A17608,우리은행,1,주택자금대출상환증명서 메뉴에서 대출계좌가 나타나지 않는데 왜 그런가요?,주택자금대출상환증명서/대출계좌,대출계좌
A17609,우리은행,1,주택을 구입하면서 잔금이 부족한데 대출이 가능하나요?,주택/구입/잔금/부족/대출,"구입,부동산"
A17610,우리은행,1,인터넷뱅킹에서 대출금 상환 후 영수증 출력이 가능한가요?,인터넷뱅킹/대출금상환/영수증 출력,"대출금상환,영수증프린트"
A17611,우리은행,1,인터넷뱅킹(우리WON뱅킹)에서 대출상환 가능한가요?,인터넷뱅킹/대출상환/가능,"대출상환,대출갚음"
A17613,우리은행,1,전세자금(월세 포함)대출이 가능한가요?,전세자금대출/가능,"가능,전세대출"
A17614,우리은행,1,대출계약철회권은 무엇인가요?,대출계약철회권,"대출계약철회권,권리"
A17615,우리은행,1,타행 주택담보대출을 OO은행 대출로 대환 가능하나요?,타행/주택담보대출/우리은행 대출/대환 가능,"주택담보대출,금융기관"
A17616,우리은행,1,주택구입자금대출 소득공제 한도는 얼마인가요?,주택구입자금대출/소득공제한도,"소득공제한도,소득공제제한"
A17617,우리은행,1,주택구입자금대출 2015년 이후 소득공제 한도는 얼마인가요?,주택구입자금대출/소득공제한도,"소득공제한도,소득공제제한"
A17618,우리은행,1,청약저축과 주택청약종합저축을 담보로 대출이 가능하나요?,청약저축/주택청약종합저축/담보/대출,"주택청약종합저축,보증"
A17619,우리은행,1,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?,거주/전세주택/임대차계약/전세대출,"전세주택,살고있다"
A17620,우리은행,1,"정기예금, 적금을 담보로 대출이 가능하나요?",정기예금/적금/담보/대출,"적금,보증"
A17621,우리은행,1,전세금을 담보로 대출이 가능한가요?,전세금/담보/대출,"담보,보증"
A17622,우리은행,1,전세자금대출을 받고 있는데 다른 주택으로 이사를 가는 경우는 대출을 상환 해야 하나요?,전세자금대출/주택/이사/대출/상환,"주택,변제"
A17623,우리은행,1,전세자금 대출도 소득공제 가능한가요?,전세자금 대출/소득공제 가능,"소득공제가능,전세대출자금"
A17624,우리은행,1,대출신청 진행이 안됩니다. 이유가 무엇인가요?,대출신청/진행,"진행,대출등록"
A17625,우리은행,1,펀드를 담보로 예금담보 대출을 받을 수 있나요?,펀드/담보/예금담보/대출,"담보,보증"
A17627,우리은행,1,부동산담보대출 금리우대쿠폰이 뭔가요?,부동산담보대출/금리우대쿠폰,"금리우대쿠폰,부동산담보대출"
A17630,기업인터넷뱅킹,1,메디칼네트워크론 대출 신청은 어떻게 하나요?,대출/신청,"신청,융자"
A17644,대출,1, 인터넷뱅킹에서 대출금을 전액 상환 후 영수증 출력이 가능한가요? ,인터넷뱅킹/대출금/전액/상환/영수증/출력,"대출금,융자금"
A17645,대출,1,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?,거주/전세주택/임대차계약/전세대출,"전세주택,대출"
A17646,대출,1,타행 주택담보대출을 당행은행 대출로 대환 가능하나요?,타행/주택담보대출/당행/은행/대출/대환,"주택담보대출,대출"
A17652,대출,1,지금까지 받은 대출 내역을 볼 수 있나요?,받은/대출/내역,"대출,융자"
A17653,개인대출,1,스마트론 대출과 전화로 신용대출 진행의 차이가 있나요?,스마트론/대출/전화/신용대출/진행/차이,"대출,신용대출"
A17660,대출,1,대출원금 완제 후 이자연체만 남은 경우에도 한국신용정보원 연체정보로 등록되나요? ,대출원금/완제/이자연체/남은/경우/한국신용정보원/연체정보/등록,"완제,갚음"
A17661,대출,1,선생님인 경우는 얼마까지 가능한가요?,선생님/경우/얼마,"경우,상황"
A17732,대출문의,1,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?,신용대출,"신용대출,수량"
A17734,담보대출,1,단독주택을 지으려고 하는데 대출받을 수 있나요?,,
A17735,대출이율,1,대출이율이 가장 싼 은행은 어디인가요?,"대출,이율,은행","이율,금융기관"
A17738,신용대출문의,1,1억원을 15일간만 신용대출하는게 가능한가요?,신용대출,"신용대출,대출"
A17748,전세자금대출,1,"전세자금 대출 받고싶은데요, 최저금리가 얼마인가요? ","전세자금대출,최저금리","최저금리,대부"
A17753,신용대출,1,신용대출은 어떻게 받나요?,"신용,대출","대출,융자"
A17758,부동산 담보대출,1,대출을 받고 싶은데 얼마나 받을 수 있는지 알수 있을까요?,대출,"대출,빌림"
A17761,담보대출 금리문의,1,친정엄마께서 2%대로 담보대출을 받으셨는데 오늘보니 3.2%로 이자가 나갔네요. 왜 그런가요?,"담보대출,이자","이자,돈"
A17773,생활자금대출,1,"저….현금이 급해서 그러는데, 신용대출 가능할까요?","현금,신용대출","신용대출,대출종류"
A17777,전세자금 대출 금리,1,신혼부부 전세자금 대출금리는 얼만가요?,"신혼부부,전세,자금,대출","전세,대부"
A17778,보험약관 대출,1,보험약관 대출은 얼마나 받을 수 있나요?,"보험,약관,대출","약관,계약"
A17789,ATM 대출금 상환,1,ATM을 이용하여 대출금 상환을 할 수 있나요?,"ATM, 대출금, 상환","대출금,갚음"
A17803,대출금리 인하 신청,1,대출금리를 인하받고 싶은데 신청할 수 있나요?,"대출, 금리","금리,이자"
A17812,대출신청,1,대출을 받고 싶은데요,대출,"대출,대부"
A17827,사업자대출,1,개인사업자 대출이 있다고 하던데요,"개인, 사업자, 대출","사업자,대부"
A17851,햇살론 대출 상담,1,햇살론 대출을 알아보고 싶어요.,"햇살론, 대출","대출,대출방법"
A17854,신용담보 대출 금리우대,1,신용담보대출을 받고 싶은데요.,"신용, 담보, 대출","담보,빌림"
A17855,대출 상환 방법,1,대출 상환 방법에 대해 구체적으로 설명해주세요.,"대출, 상환, 방법","상환,해결법"
A17860,대출금리인하,1,대출금리 인하받을라카면  우째야 되는교?,"대출,금리,인하","금리,할인"
A17872,소상공인 대출,1,제가 미용실을 하고 있는데 대출을 할 수 있을까요?,"미용실, 대출","대출,빌림"
A17905,약관대출,1,보험사에서 대출이 된다던데요 어떻게 알아볼 수 있나요?,"보험사, 대출","대출,대부"
A17906,약관대출금액,1,약관대출 알아봤었는데 대출가능금액이 전이랑 다르게 나올 수도 있나요?,"약관대출, 가능금액","가능금액,돈"
A17907,주택건축자금대출,1,집짓으려는데 대출을 받을 수 있을까요?,대출,"대출,대부"
A17911,예탁금담보대출,1,예탁금담보대출이 뭐예요?,예탁금담보대출,"예탁금담보대출,대출종류"
A17912,학자금대출,1,학자금 대출을 받으면 지원되는 부분이 어떤 것들이 있나요?,"학자금대출, 지원","지원,서비스"
A17913,학자금대출방법,1,제가 사는 지역이 농어촌으로 되어 있는데 학자금 대출을 받을 수 있나요?,농어촌,"농어촌,농촌어촌"
A17914,대출상담,1,대출가능여부 조회를 하면 신용조회 기록이 남나요?,"대출가능, 조회","조회,조사"
A17915,대출방법,1,인터넷으로 대출받을 수 있나요?,"인터넷, 대출","대출,대부"
A17916,대출상환방법,1,저한테 맞는 대출상환방법을 알아보려는데요 어떤 방법들이 있나요?,상환방법,"상환방법,갚는방법"
A17919,카카오뱅크대출,1,카뱅대출 신청자격이 있나요?,"카뱅, 대출","대출,대부"
A17920,비상금대출,1,은행 자동화코너에 갔다가 비상금대출이라는걸 봤는데 상담가능할까요?,"자동화코너, 비상금대출","비상금대출,대부"
A17932,소상공인 대출,1,네일샵을 운영하는데 대출 되나요?,"네일샵,운영,대출","운영,대부"
A17944,무보증대출,1,급여이체무보증대출이 있다던데 맞나요?,"무보증, 대출","대출,대부"
A17945,전세자금대출연장,1,전세자금대출을 받았는데 연장이 가능할까요?,전세자금대출,"전세자금대출,대출상품"
A17946,대출소득공제,1,대출소득공제를 받을 수 있다던데요?,"대출, 소득공제","소득공제,제도"
A17947,대출연장,1,대출만기가 다되가는데 연장은 어떻게 신청할 수 있나요?,"대출만기, 연장, 신청","연장,접수"
A17951,전세자금대출,1,"신혼부부 전세자금 대출 받을려고 하는데, 최저금리가 얼마인가요?","신혼부부전세자금대출, 최저금리",최저금리
A17952,부동산담보대출,1,대출을 받고 싶은데 얼마까지 받을 수 있나요?,대출,대출
A17953,신용대출조건,1,신용대출을 받고 싶은데 가능한가요?,신용대출,신용대출
A17988,담보대출상담,1,대출을 받아서 단독주택을 짓고 싶은데 가능할까요?,"대출, 단독주택","단독주택,융자"
A17989,대출심사,1,신용대출 심사 받는게 많이 까다롭나요?,"신용대출, 심사","심사,대출"
A17990,전세대출상담,1,대출문의 가능한가요?,"대출문의, 가능","가능,실현성"
A17994,단기대출,1,1억을 단기로 대출 받을 수 있나요?,"1억, 단기, 대출","단기,대부"
A17998,중소기업청년전세대출,1,"중소기업청년전세대출이라는게 있던데, 저도 될까요?",중소기업청년전세대출,"중소기업청년전세대출,대출종류"
A18002,대출금리인하,1,"담보대출 금리를 좀 낮추고 싶은데, 가능할까요?","담보대출, 금리, 가능","금리,이자율"
A18005,학자금대출,1,"요번에 야간대 들어가면서 학자금 대출을 받고 싶은데, 될까요?","야간대, 학자금, 대출","학자금,대부"
A18006,신용대출신청,1,교보바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있나요?,"교보, 신용대출, 광고","신용대출,홍보"
A18008,대출상담,1,"적금이 들어간게 있는데, 이걸로 대출이 되나요?","적금, 대출","대출,대부"
A18012,학자금대출상환,1,학자금 대출 문의를 드리고 싶습니다.,"학자금대출, 문의","문의,질문"
A18038,주택담보대출,1,제 신용도로 대출 얼마까지 되는지 알수 있을까요?,"신용도, 대출","대출,대부"
A18039,대출금리변동,1,"시댁에서 처음 담보대출 받을 때 1.5%로 받았는데, 오늘 확인하니 2.8%로 되어있네요.","시댁, 처음, 답보대출, 1.5%, 오늘, 확인, 2.8%","처음,검증"
A18057,대출금중도상환,1,혹시 대출금 중도 상환이 될까요?,"대출금, 중도상환","중도상환,융자"
A18058,대출자격문의,1,"대출 받고싶으데, 자격이 될까요?","대출, 자격","자격,조건"
A18059,자동이체계좌변경,1,대출상환 자동이체 계좌를 변경하고 싶은데요.,"대출상환, 자동이체, 계좌, 변경","자동이체,교체"
A18064,개인사업자대출,1,개인사업자가 편하게 받을 수 있는 대출이 있다고 하던데요.,"개인사업자, 대출","대출,대부"
A18073,대출상환방법,1,"대출 상환방법에는 여러가지가 있다던데, 가르쳐주시겠어요?","대출, 상환방법","상환방법,대부"
A18074,대출금리인하,1,대출금리를 조금 낮추고 싶은데 방법이 있어요?,"대출금리, 방법","방법,방식"
A18075,비대면신용대출,1,"신용대출을 직접 가지 않아도 받을 수 있는 방법이 있다던데, 맞나요?","신용대출, 방법","방법,방식"
A18080,학자금대출상담,1,"제가 요번에 대학에 들어가게되서요, 학자금대출 신청이 될까요?","대학, 학자금대출, 신청","학자금대출,청구"
A18081,예탁금담보대출,1,예탁금 담보대출이 뭔가요?,"예탁금, 담보대출","담보대출,예적금"
A18085,아파트담보대출,1,"안녕하세요, 대출 문의를 하고 싶은데요.","대출, 문의","문의,질문"
A18110,대출신용등급조회,1,"대출 받을려면 신용등급을 알아야 된다는데, 어디서 조회 해볼 수 있는거죠?","대출, 신용등급, 어디, 조회","신용등급,검색"
A18155,ATM대출금상환,1,"대출금 상환을 다 하고싶은데, 인터넷이 안되요. 다른 방법이 있나요?","대출금, 상환, 인터넷, 방법","상환,방식"
A18181,전세(월세)자금대출,1,전세자금대출 문의드립니다.,"전세자금대출, 문의",문의
A18190,대출신청 거절,1,대출신청이 거절됐는데 이유가 궁금합니다.,"대출신청, 거절","거절,취소"
A18248,인터넷 뱅킹 대출 중도 상환,1,인터넷 뱅킹에서도 대출금 중도 상환이 가능한지요?,"인터넷 뱅킹, 중도 상환, 대출금","중도상환,대출"
A18258,예금 담보 대출,1,예금을 담보로 대출을 좀 하고 싶은데요.,"예금, 대출, 담보","대출,보증"
A18259,전세대출,1,전세대출 문의드립니다.,"전세대출, 문의",문의
A18311,급여통장플러스론,1,급여이체 무보증대출 상품이 있나요?,"급여이체, 무보증대출, 상품","무보증대출,종류"
A18312,전세자금대출연장,1,"대출을 받았는데, 연장이 가능한지 궁금합니다.","대출, 연장, 가능, 궁금","연장,질문"
A18313,전세자금소득공제,1,대출 받은 것도 소득공제가 가능한가요?,"대출, 소득공제, 가능","소득공제,실현"
A18314,대출연장신청,1,대출만기가 다가와서 연장 신청을 하고 싶습니다.,"대추란기, 연장, 신청","연장,청구"
A18355,원금상환변경,1,"대출금 원금상환을 매달하고 싶은데, 그런 방법이 있나요?","대출금, 원금상환, 매달, 방법","원금상환,방식"
A18356,급여이체통장대출,1,급여이체통장으로 마이너스통장처럼 대출 받을 수 있는게 있나요?,"급여이체통장, 마이너스통장, 대출","마이너스통장,대부"
A18357,대출상환연장,1,"대출 받은게 있는데, 갚지를 못하겠네요. 상환 연장이 될까요?","대출, 상환, 연장","상환,갱신"
A18358,전세자금대출소득공제,1,연말정산 할때 대출금 중 소득공제 되는게 있다던데 그런가요?,"연말정산, 대출금, 소득공제","대출금,연말정산"
A18359,대출연장신청,1,대출연장 신청할 때 어떤 방법으로 신청을 할 수 있는지 궁금합니다.,"대출연장, 신청, 방법, 궁금","신청,문의"
A18362,토지대출문의,1,"집을 짓고 싶은데, 대출이 가능할까요?","집, 대출, 가능","대출,실현"
A18366,예탁금담보대출,1,"예탁금담보대출, 무엇?",예탁금담보대출,예탁금담보대출
A18367,학자금대출문의,1,학자금대출은 어떤 부분을 지원해주는 거죠?,"학자금대출, 어떤, 부분, 지원","어떤,도움"
A18368,농어촌학자금대출문의,1,농어촌에 살고 있으면 학자금대출 받을 때 우대해주는 것이 있나요?,"농어촌, 학자금대출, 우대","학자금대출,대우"
A18369,신용대출문의,1,대출을 알아보는 것만으로도 신용조회 기록이 남는다고 하더라구요.,"대출, 신용조회, 기록","신용조회,입력"
A18370,인터넷대출신청,1,인터넷 대출이라는 것도 있나요?,"인터넷, 대출","대출,대부"
A18371,대출상환방법문의,1,대출상환 방법에는 어떤 종류들이 있나요?,"대출상환, 방법, 어떤, 종류","방법,유형"
A18373,카카오뱅크대출,1,카뱅에서 받는 대출은 신청자격을 안보고 그냥 내주나요?,"카뱅, 대출, 신청자격","대출,대부"
A18374,비상금대출문의,1,"은행에 붙은 포스터에 비상금대출 가능이라던데, 어떤 건지 안내를 받을 수 있나요?","은행, 포스터, 비상금대출, 가능, 안내","포스터,설명"
A18375,대출문의,1,대출 접수하는 것 좀 도와줄 수 있을까요?,"대출, 접수","접수,등록"
A18381,개인사업자대출문의,1,개인사업자 대출서비스는 어떤 건지 알고 싶습니다.,"개인사업자, 대출서비스","대출서비스,개인사업자"
A18382,긴급출금서비스,1,카뱅에 있는 긴급출금 대출서비스를 받아보고 싶어요. 안내 부탁드려요.,"카뱅, 긴급출동, 대출서비스, 안내","긴급출동,설명"
A18383,대출금중도상환,1,대출금을 중도상환하고 싶은데요..,"대출금, 중도상환","중도상환,변제"
A18384,카드대출문의,1,"카드 대출을 처음 받아볼려고 하는데, 대출 받은 건 언제쯤 입금 되나요?","카드, 대출, 처음, 언제쯤, 입금","대출,예금"
A18388,신용대출상담,1,"신용대출 상담을 받고 싶은데, 여기서도 가능한가요?","신용대출, 상담, 가능","상담,실현"
A18390,금융/대출문의,1,은행에서의 융자방법에는 대출과 할인의 두 가지가 있다고 하는데 대출방법을 알고 싶습니다.,은행/융자/대출/할인,"융자,금융상품"
A18391,금융/대출문의,1,저번 시간에 이어 은행대출에서 소년소녀가정 등 전세자금은 무엇인가요?,은행대출,"은행대출,금융상품"
A18392,금융/대출문의,1,이번에는 신용대출과 담보대출에 대해 질문을 하고 싶은데 가능할까요?,신용대출/담보대출,"담보대출,보증"
A18393,금융/대출문의,1,대출상품에서 모기지론이 궁금합니다. 설명해 주시겠습니까?,대출상품/모기지론,"모기지론,금융상품"
A18396,금융/대출문의,1,"설계사님, 금융대출에서 브릿지론이 뭔가요?",금융대출/브릿지론,"브릿지론,금융상품"
A18397,금융/대출문의,1,"설계사님, 질문이 있습니다. 대출상환방식이 복잡하다는데 알려주세요.",대출상환방식,"대출상환방식,방법"
A18398,금융/대출문의,1,어제 문의에 이어서 대출방식에 대해 문의를 하고 싶습니다. ,문의/대출방식,"대출방식,방법"
A18399,금융/대출문의,1,"설계사님, 원리금 균등분할 상환의 장점이 뭐라구요?",원리금균등분할상환/장점,"장점,구분"
A18455,금융/대출문의,1,주택전세자금대출이란 무엇인가요?,주택전세자금대출,"주택전세자금대출,금융상품"
A18456,금융/대출문의,1,빌라는 전세보증금 대출금리가 어떻게 됩니까?,빌라/전세보증금/대출금리,"전세보증금,이자"
A18461,예금 담보 대출,1,예금을 담보로도 대출을 할 수 있나요?,"담보, 대출, 예금","대출,저축"
A18463,전세 자금 대출,1,"앱에서 전세자금대출을 신청하려는데, 서류는 은행에 직접 가서 내도 상관없나요?","전세자금대출, 은행, 신청, 서류, 앱","은행,응용프로그램"
A18466,대출 중도상환 해약금,1,대출 중도상환시 해약금에 대해서 궁금합니다.,"중도상환, 해약금, 대출","해약금,융자"
A18473,전세자금 대출 소득공제,1,전세자금 대출을 했는데요 소득공제때문에 궁금한 게 있습니다.,"전세자금 대출, 소득공제","소득공제,공제"
A18476,경찰공무원 대출,1,경찰공무원 대출을 받고 싶습니다.,"경찰공무원, 대출",대출
A18481,예금 담보 대출,1,예금 담보로 대출을 좀 받고 싶은데요.,"예금 담보, 대출","대출,융자"
A18490,대출 중 상환과 세액공제,1,대출중인데 전액 상환시 세액공제가 어떻게 되는지 궁금합니다.,"세액공제, 대출, 상환",대출
A18492,대출모집인 수수료,1,대출모집인에 대해서 궁금한 게 있습니다.,대출모집인,"대출모집인,채널"
A18497,네트워크론,1,네트워크론 대출신청은 어떻게 하나요?,"대출신청, 네트워크","네트워크,시스템"
A18537,대출계약철회권,1,제가 대출을 신청했는데 혹시 철회가 가능한가요?,"철회, 신청, 대출","신청,융자"
A18541,대출계약 철회,1,대출계약을 철회할 수 있을까요?,"대출계약, 철회","철회,취소"
A18639,전세 대출 서비스,1,수고하십니다. 전세자금대출이 문의하고 싶은데요,"수고, 전세자금대출, 문의","전세자금대출,질문"
A18644,담보 대출,1,"안녕하세요, 담보대출 좀 문의하고 싶습니다.","담보,대출","대출,융자"
A18679,전세 자금 대출,1,전세대출을 받고싶은데요,"전세,대출","대출,대출-금융상품"
A18682,신용 대출,1,제가 신용대출을 받을 수 있을까요?,"신용,대출","대출,대출-금융상품"
A18683,신용 대출,1,제 마이너스통장 기한이 연장될 수 있나요?,"신용,대출,기한,연장","대출,기간"
A18684,신용 대출,1,제 마이너스통장 기한이 연장될 수 있나요?,"신용,대출,기한,연장","대출,기간"
A18685,신용 대출,1,제 마이너스통장 기한이 연장될 수 있나요?,"신용,대출,기한,연장","대출,기간"
A18686,신용 대출,1,제 마이너스통장 기한이 연장될 수 있나요?,"신용,대출,기한,연장","대출,기간"
A18693,담보대출,1,현재 건축중인 건물이 있는데 대출이 가능한가요?,"대출, 건물","건물,대출-금융상품"
A18694,신용대출,1,단기 대출을 진행하고 싶은데요?,"단기, 대출,진행","대출,대출-금융상품"
A18696,보험 약관대출,1,약관대출을 어떻게 신청할 수 있나요?,"약관,대출,신청","대출,대출-금융상품"
A18697,보험 약관대출,1,약관대출을 어떻게 신청할 수 있나요?,"약관,대출,신청","대출,대출-금융상품"
A18698,신용대출,1,"제가 돈이 급하게 필요한데, 단기로 대출 받을 수 있나요?","돈, 단기, 대출","단기,대출-금융상품"
A18706,대출 신청,1,은행에 있는 예금을 담보로 대출이 가능하나요?,"은행,예금, 담보, 대출","예금,은행-금융기관"
A18707,담보 대출,1,제가 연봉이 올랐는데 그럼 대출 금리가 내려갈 수 있나요?,"연봉,대출,금리","대출,대출-금융상품"
A18708,기업 대출,1,기업고객인데 대출이 가능한가요?,"기업,대출,가능","대출,대출-금융상품"
A18709,기업 대출,1,기업고객인데 대출이 가능한가요?,"기업,대출,가능","대출,금융상품"
A18713,보험 약관대출,1,약관대출을 어떻게 신청할 수 있나요?,"약관,대출,신청","대출,금융상품"
A18742,대출금리,1,대출금리를 인하받고 싶은데 가능합니까?,"대출, 금리","금리,이자"
A18745,대출이용,1,교보바로받는 신용대출은 무방문으로도 받을 수 있나요?,"신용, 대출, 무방문","대출,금융상품"
A19167,보험약관대출,1,보험약관 대출은 얼마나 받을 수 있나요?,"보험,약관,대출","약관,계약"
A19197,약관대출,1,보험계약을 담보로 한 대출현황이라는 내용의 문자는 제가 대출중이라는 뜻인가요?,"보험계약, 담보","담보,보증"
A19205,대출안내,1,OO생명 고객센터 전화번호를 알려주세요,,
A19243,보험대출,1,보험계약대출을 받으며 그 사실을 제 3자가 알수 있나요?,"계약, 대출, 사실","대출,정말"
A19254,대출신청오류,1,보험계약대출 신청하려고 하는데요.,"대출, 신청","신청,접수"
A19255,대출금상환,1,대출금 상환을 하려고 하는데요?,"대출금, 상환","상환,갚음"
A19308,대출이용,1,OO보험 신용대출은 무방문으로도 받을 수 있어요?,"신용대출,무방문","무방문,비대면"
A19309,안내서비스,1,OO생명 대출콜센터 안내서비스 번호를 알고 싶은데요?,"대출,콜센터,안내,서비스,번호","콜센터,알림"
A19310,보험계약대출,1,보험계약대출이 뭔가요?,보험계약대출,"보험계약대출,보험약관대출"
A19311,보험계약대출 신청,1,보험계약대출은 어떻게 신청하나요?,"보험계약대출,신청","신청,요청"
A19347,대출금상환,1,보험계약대출금을 매월 나누어 상환하고 싶은데 가능한가요?,계약대출금,"계약대출금,보험계약대출금액"
A19351,아파트담보대출,1,"현금이 급히 필요해서 그런데, 아파트 담보대출로 가능할까요?","현금, 아파트, 담보대출","아파트,공동주택"
A19359,전화대출상담,1,"전화 대출 받을려고 하는데, 제 명의 통장이 있어야하나요?","전화대출, 명의통장","명의통장,장부"
A19360,담보대출상담,1,집을 담보로 대출 받고 싶은데 몇 %까지 받을 수 있나요?,"집, 담보, 대출","담보,융자"
A19362,약관대출,1,보험계약대출 받고 싶은데 얼마까지 받을 수 있죠?,보험계약대출,"보험계약대출,대출"
A19363,약관대출,1,약관대출을 받을려니 예전보다 받을 수 있는 금액이 너무 낮네요.. 왜 이런가요?,"약관대출, 금액","금액,돈"
A19364,약관대출,1,"약관대출을 받고 싶은데, 언제든 가능한가요?","약관대출, 가능","가능,대출"
A19367,비대면대출문의,1,대출 신청할 때 본인이 직접가야하나요?,"대출, 신청, 본인","신청,당사자"
A19368,담보추가대출,1,"3년전에 아파트 담보대출을 이곳에서 받았는데, 혹시 추가대출 가능한가요?","3년, 아파트, 담보대출, 추가대출","아파트,공동주택"
A19369,대출상담,1,"대출받을려고 하는데, 금리가 가장 저렴한 곳이 어디인가요?","대출, 금리","금리,이자율"
A19398,약관대출문의,1,"보험계약 대출이라는게 있다던데, 맞나요?","보험계약, 대출","대출,대부"
A19399,보험약관대출,1,300만원 정도 약관대출로 한달 빌릴 수 있을까요?,"300만원, 약관대출, 한달","약관대출,1개월"
A19400,보험약관대출,1,이곳에서 보험 약관대출 되나요?,보험약관대출,"보험약관대출,대출"
A19469,이자납부오류,1,"제가 대출금을 다 갚았는데, 요번달에도 이자가 빠져나갔네요.","대출금, 요번달, 이자","요번달,수수료"
A19474,대출제3자조회,1,약관대출을 받으면 제3자도 그 정보를 알 수 있는건가요?,"약관대출, 제3자, 정보","제3자,자료"
A19475,약관대출신청,1,보험으로 약관대출 신청할 수 있어요?,"보험, 약관대출, 신청","약관대출,청구"
A19477,보험계약대출,1,"보험계약대출 서비스가 있다던데, 제가 든 보험으로 대출을 받는건가요?","보험계약대출, 서비스, 보험, 대출","서비스,대부"
A19478,약관대출신청,1,약관대출 신청 좀 할려구요.,"약관대출, 신청","신청,청구"
A19481,보험계약대출,1,보험계약대출 상담도 해주시나요?,"보험계약대출, 상담","상담,의논"
A19482,약관대출신청,1,ㅇㅇ화재에서도 대출을 받을 수 있나요?,"ㅇㅇ화재, 대출","대출,대부"
A19536,정액분할자동상환,1,"약관대출 받은게 있는데, 12개월로 분할 상환 될까요?","약관대출, 12개월, 분할상환","12개월,변제방식"
A19658,보험사대출문의,1,보험회사에서 받는 대출에는 어떤 대출들이 있나요?,"보험회사, 대출, 어떤","대출,대부"
A19659,약관대출금액문의,1,"전에 약관대출 받았을 때보다 지금 가능금액이 현저히 줄었는데, 왜 그런거죠?","약관대출, 지금, 가능금액","지금,돈"
A19660,문자알림대출문의,1,"보험사 문자를 받았는데, 무슨 뜻인지 몰라서 문의 드립니다.","보험사, 문자, 문의","문자,상담"
A19661,대출상담,1,"ㅇㅇ화재에 대출관련 상담을 받으려고 연락을 좀 하고 싶은데, 전화 연결이 안되네요.","ㅇㅇ화재, 대출, 상담, 연락, 전화연결","대출,전화"
A19662,약관대출이력조회,1,보험으로 약관대출을 받았을 때 제3자가 제 대출이력을 조회할 수 있는가요?,"보험, 약관대출, 제3자, 대출이력, 조회","약관대출,검색"
A19663,인터넷보험대출,1,"보험계약대출을 받을려고 하는데, 도움을 좀 주시면 좋겠어요.","보험계약대출, 도움","도움,지원"
A19824,보험계약대출절차,1,보험계약대출 절차 긍금합니다.,보험/계약/대출,"계약,금융상품"
A19835,전화대출상담,1,전화 대출시 보험사에 본인명의 통장이 등록되어 있어야만 합니까?,전화/대출/보험사/본인/통장/등록,"대출,금융상품"
